EVAL  Pn
0004  1.000000E+00
0005  1.000000E+00
0006  1.000000E+00
0007  1.000000E+00
0008  8.474351E-01
0009  7.581904E-01
0010  6.948703E-01
0011  6.457553E-01
0012  6.056255E-01
0013  5.716963E-01
0014  5.423054E-01
0015  5.163808E-01
0016  4.931905E-01
0017  4.722123E-01
0018  4.530607E-01
0019  4.354429E-01
0020  4.191314E-01
0021  4.039457E-01
0022  3.897405E-01
0023  3.763968E-01
0024  3.638159E-01
0025  3.519155E-01
0026  3.406256E-01
0027  3.298867E-01
0028  3.196474E-01
0029  3.098634E-01
0030  3.004958E-01
0031  2.915107E-01
0032  2.828780E-01
0033  2.745712E-01
0034  2.665665E-01
0035  2.588428E-01
0036  2.513809E-01
0037  2.441637E-01
0038  2.371756E-01
0039  2.304027E-01
0040  2.238319E-01
0041  2.174516E-01
0042  2.112511E-01
0043  2.052204E-01
0044  1.993506E-01
0045  1.936333E-01
0046  1.880607E-01
0047  1.826258E-01
0048  1.773218E-01
0049  1.721426E-01
0050  1.670825E-01
0051  1.621361E-01
0052  1.572985E-01
0053  1.525649E-01
0054  1.479309E-01
0055  1.433925E-01
0056  1.389458E-01
0057  1.345872E-01
0058  1.303132E-01
0059  1.261206E-01
0060  1.220063E-01
0061  1.179676E-01
0062  1.140016E-01
0063  1.101059E-01
0064  1.062779E-01
0065  1.025153E-01
0066  9.881600E-02
0067  9.517783E-02
0068  9.159881E-02
0069  8.807706E-02
0070  8.461078E-02
0071  8.119823E-02
0072  7.783779E-02
0073  7.452789E-02
0074  7.126702E-02
0075  6.805376E-02
0076  6.488673E-02
0077  6.176463E-02
0078  5.868619E-02
0079  5.565022E-02
0080  5.265555E-02
0081  4.970108E-02
0082  4.678575E-02
0083  4.390852E-02
0084  4.106842E-02
0085  3.826451E-02
0086  3.549586E-02
0087  3.276160E-02
0088  3.006090E-02
0089  2.739293E-02
0090  2.475692E-02
0091  2.215210E-02
0092  1.957775E-02
0093  1.703316E-02
0094  1.451765E-02
0095  1.203057E-02
0096  9.571272E-03
0097  7.139153E-03
0098  4.733614E-03
0099  2.354082E-03
0100  0.000000E+00
