Run   obj.function   XQ01          YQ01          RQ01          XQ02          YQ02          RQ02          XQ03          YQ03          RQ03          XQ04          YQ04          RQ04          XQ05          YQ05          RQ05          XQ06          YQ06          RQ06          
1     6.0000000000000000E+04  2.670000E+03  1.520000E+03  1.000000E+04  3.340000E+03  1.000000E+03  1.000000E+04  4.430000E+03  5.020000E+03  1.000000E+04  5.130000E+03  3.715000E+03  1.000000E+04  4.770000E+03  4.170000E+03  1.000000E+04  4.500000E+03  4.585000E+03  1.000000E+04  
2     9.7254327628327000E+08  2.468842E+03  1.747335E+03  7.514612E+03  3.457556E+03  9.547338E+02  6.121925E+03  4.701538E+03  4.402845E+03  7.738634E+03  5.652650E+03  3.636501E+03  1.031613E+04  4.842118E+03  4.334981E+03  8.174329E+03  4.433598E+03  4.259424E+03  7.410651E+03  
3     1.3237508801840127E+09  3.167885E+03  1.430670E+03  1.423921E+04  3.340000E+03  9.148845E+02  1.000000E+04  4.912624E+03  4.766083E+03  1.000000E+04  4.904507E+03  3.715000E+03  1.096617E+04  4.837828E+03  4.170000E+03  9.575373E+03  4.412554E+03  4.399008E+03  6.099437E+03  
4     6.2492814628375554E+08  3.158832E+03  1.327098E+03  1.337948E+04  3.482525E+03  8.703297E+02  1.404263E+04  4.770435E+03  5.020000E+03  1.000000E+04  4.731453E+03  3.715000E+03  7.624166E+03  5.081913E+03  4.170000E+03  1.000000E+04  4.500000E+03  4.585000E+03  1.000000E+04  
5     2.4710930064568651E+08  2.670000E+03  1.689596E+03  1.146211E+04  3.340000E+03  1.000000E+03  1.363853E+04  4.430000E+03  4.888959E+03  1.000000E+04  5.130000E+03  3.715000E+03  1.000000E+04  4.998872E+03  4.262221E+03  1.000000E+04  4.500000E+03  4.585000E+03  1.000000E+04  
6     4.4728110803189158E+08  2.670000E+03  1.225177E+03  1.000000E+04  3.340000E+03  9.574327E+02  1.000000E+04  4.926718E+03  4.336947E+03  1.000000E+04  5.130000E+03  3.613766E+03  1.599503E+04  4.770000E+03  4.170000E+03  1.000000E+04  5.036809E+03  4.585000E+03  1.000000E+04  
7     4.0643531317099202E+06  2.670000E+03  1.520000E+03  1.238135E+04  3.340000E+03  1.021158E+03  1.000000E+04  4.430000E+03  5.020000E+03  7.943798E+03  5.288598E+03  3.747216E+03  1.000000E+04  4.770000E+03  4.170000E+03  4.535677E+03  4.500000E+03  4.585000E+03  5.863302E+03  
8     3.9951534660326558E+08  2.670000E+03  1.520000E+03  1.000000E+04  2.804801E+03  1.000000E+03  4.563715E+03  4.383017E+03  5.020000E+03  1.360680E+04  5.130000E+03  3.715000E+03  1.295804E+04  4.334234E+03  4.170000E+03  1.000000E+04  4.500000E+03  4.585000E+03  7.218046E+03  
9     8.7917319164547861E+08  2.670000E+03  1.520000E+03  1.000000E+04  3.340000E+03  8.117984E+02  1.000000E+04  4.430000E+03  5.069074E+03  1.000000E+04  5.007309E+03  3.715000E+03  1.000000E+04  4.770000E+03  4.170000E+03  1.419165E+04  4.612683E+03  4.859139E+03  1.000000E+04  
10    2.4372197555828875E+08  2.670000E+03  1.529395E+03  1.000000E+04  3.340000E+03  1.104086E+03  1.000000E+04  4.430000E+03  5.020000E+03  1.000000E+04  5.130000E+03  4.150789E+03  1.000000E+04  4.598451E+03  4.170000E+03  1.000000E+04  4.500000E+03  4.585000E+03  8.675558E+03  
