STEP	OBJ._FUNCTION	XQ01        	YQ01        	RQ01        	XQ02        	YQ02        	RQ02        	XQ03        	YQ03        	RQ03        	XQ04        	YQ04        	RQ04        	XQ05        	YQ05        	RQ05        	XQ06        	YQ06        	RQ06        
   1	1.105781E+09	3.998582E+03	9.668567E+02	1.231917E+04	4.166472E+03	1.531555E+03	5.812572E+03	5.566408E+03	5.012749E+03	1.942050E+04	5.309523E+03	4.391375E+03	7.786399E+03	5.688993E+03	4.842198E+03	1.914423E+04	5.567605E+03	4.518115E+03	2.867245E+03
   2	6.000000E+04	2.670000E+03	1.520000E+03	1.000000E+04	3.340000E+03	1.000000E+03	1.000000E+04	4.430000E+03	5.020000E+03	1.000000E+04	5.130000E+03	3.715000E+03	1.000000E+04	4.770000E+03	4.170000E+03	1.000000E+04	4.500000E+03	4.585000E+03	1.000000E+04
  36	6.000000E+04	2.670000E+03	1.520000E+03	1.000000E+04	3.340000E+03	1.000000E+03	1.000000E+04	4.451038E+03	5.020000E+03	1.000000E+04	5.130000E+03	3.715000E+03	1.000000E+04	4.770000E+03	4.170000E+03	1.000000E+04	4.500000E+03	4.450720E+03	1.000000E+04
  45	5.775804E+04	2.670000E+03	1.520000E+03	1.000000E+04	3.340000E+03	1.000000E+03	1.000000E+04	4.451038E+03	5.020000E+03	7.758044E+03	5.130000E+03	3.715000E+03	1.000000E+04	4.535199E+03	4.170000E+03	1.000000E+04	4.500000E+03	4.450720E+03	1.000000E+04
  55	5.093611E+04	2.670000E+03	1.520000E+03	3.032011E+03	3.340000E+03	1.000000E+03	1.096424E+04	4.444069E+03	5.020000E+03	7.758044E+03	5.130000E+03	3.715000E+03	1.000000E+04	4.535199E+03	4.195717E+03	9.181822E+03	4.500000E+03	4.450720E+03	1.000000E+04
  59	5.093611E+04	2.670000E+03	1.520000E+03	3.032011E+03	3.340000E+03	1.000000E+03	1.096424E+04	4.444069E+03	5.020000E+03	7.758044E+03	5.130000E+03	3.715000E+03	1.000000E+04	4.580841E+03	4.195717E+03	9.181822E+03	4.500000E+03	4.450720E+03	1.000000E+04
  61	5.093611E+04	2.731726E+03	1.520000E+03	3.032011E+03	3.340000E+03	1.000000E+03	1.096424E+04	4.444069E+03	5.020000E+03	7.758044E+03	5.434506E+03	3.715000E+03	1.000000E+04	4.535199E+03	4.195717E+03	9.181822E+03	4.500000E+03	4.450720E+03	1.000000E+04
  63	5.093611E+04	2.670000E+03	1.520000E+03	3.032011E+03	3.340000E+03	1.000000E+03	1.096424E+04	4.444069E+03	5.020000E+03	7.758044E+03	5.130000E+03	3.715000E+03	1.000000E+04	4.580841E+03	4.303088E+03	9.181822E+03	4.500000E+03	4.450720E+03	1.000000E+04
  65	5.093611E+04	2.731726E+03	1.520000E+03	3.032011E+03	3.340000E+03	1.000000E+03	1.096424E+04	4.461621E+03	5.020000E+03	7.758044E+03	5.434506E+03	3.715000E+03	1.000000E+04	4.535199E+03	4.195717E+03	9.181822E+03	4.500000E+03	4.795236E+03	1.000000E+04
  66	5.093611E+04	2.670000E+03	1.520000E+03	3.032011E+03	3.340000E+03	1.000000E+03	1.096424E+04	4.444069E+03	4.984648E+03	7.758044E+03	5.130000E+03	3.715000E+03	1.000000E+04	4.580841E+03	4.303088E+03	9.181822E+03	4.500000E+03	4.450720E+03	1.000000E+04
  67	5.056618E+04	2.670000E+03	1.698258E+03	3.032011E+03	3.340000E+03	1.000000E+03	1.096424E+04	4.444069E+03	5.020000E+03	7.758044E+03	5.130000E+03	3.715000E+03	1.000000E+04	4.580841E+03	4.303088E+03	8.811887E+03	4.500000E+03	4.450720E+03	1.000000E+04
