x,y,type,element_type,abs_errors,rel_errors,transient_err
53129.1,3172.02,0,0,-5.47522e-08,5.47522e-08,0,FarField
8000,5928.97,0,0,-0.0177314,0.0177314,0,Eastern Boundary
8000,5809.7,0,0,0.0291169,0.0291169,0,Eastern Boundary
8000,5576.37,0,0,-0.0141909,0.0141909,0,Eastern Boundary
8000,5239.19,0,0,-0.00656487,0.00656487,0,Eastern Boundary
8000,4812.88,0,0,0.0264356,0.0264356,0,Eastern Boundary
8000,4316.09,0,0,-0.0385684,0.0385684,0,Eastern Boundary
8000,3770.51,0,0,0.0408936,0.0408936,0,Eastern Boundary
8000,3200,0,0,-0.0319752,0.0319752,0,Eastern Boundary
8000,2629.49,0,0,0.0140172,0.0140172,0,Eastern Boundary
8000,2083.91,0,0,0.0111501,0.0111501,0,Eastern Boundary
8000,1587.12,0,0,-0.0385572,0.0385572,0,Eastern Boundary
8000,1160.81,0,0,0.0655576,0.0655576,0,Eastern Boundary
8000,823.626,0,0,-0.0846589,0.0846589,0,Eastern Boundary
8000,590.301,0,0,0.0902193,0.0902193,0,Eastern Boundary
8000,471.032,0,0,-0.0459385,0.0459385,0,Eastern Boundary
1631.88,2177.17,0,0,0.00296755,0.00296755,0,Yellowstone River
1618.25,2138.83,0,0,-0.00517517,0.00517517,0,Yellowstone River
1591.59,2063.83,0,0,0.00324134,0.00324134,0,Yellowstone River
1553.05,1955.45,0,0,-0.000239561,0.000239561,0,Yellowstone River
1504.33,1818.43,0,0,-0.00297093,0.00297093,0,Yellowstone River
1447.55,1658.74,0,0,0.00528372,0.00528372,0,Yellowstone River
1385.2,1483.38,0,0,-0.00625338,0.00625338,0,Yellowstone River
1320,1300,0,0,0.00535396,0.00535396,0,Yellowstone River
1254.8,1116.62,0,0,-0.00274193,0.00274193,0,Yellowstone River
1192.45,941.258,0,0,-0.00147102,0.00147102,0,Yellowstone River
1135.67,781.573,0,0,0.00644577,0.00644577,0,Yellowstone River
1086.95,644.546,0,0,-0.011676,0.011676,0,Yellowstone River
1048.41,536.166,0,0,0.0155663,0.0155663,0,Yellowstone River
1021.75,461.168,0,0,-0.0169698,0.0169698,0,Yellowstone River
1008.12,422.832,0,0,0.00870525,0.00870525,0,Yellowstone River
2439.73,3759.96,0,0,0.000511077,0.000511077,0,Yellowstone River
2422.47,3726.31,0,0,-0.000977331,0.000977331,0,Yellowstone River
2388.73,3660.48,0,0,0.00087194,0.00087194,0,Yellowstone River
2339.95,3565.34,0,0,-0.000612016,0.000612016,0,Yellowstone River
2278.29,3445.06,0,0,0.000291722,0.000291722,0,Yellowstone River
2206.43,3304.9,0,0,1.12631e-06,1.12631e-06,0,Yellowstone River
2127.52,3150.97,0,0,-0.000221188,0.000221188,0,Yellowstone River
2045,2990,0,0,0.000335015,0.000335015,0,Yellowstone River
1962.48,2829.03,0,0,-0.000332672,0.000332672,0,Yellowstone River
1883.57,2675.1,0,0,0.000226081,0.000226081,0,Yellowstone River
1811.71,2534.94,0,0,-4.47003e-05,4.47003e-05,0,Yellowstone River
1750.05,2414.66,0,0,-0.000170526,0.000170526,0,Yellowstone River
1701.27,2319.52,0,0,0.000359319,0.000359319,0,Yellowstone River
1667.53,2253.69,0,0,-0.000459116,0.000459116,0,Yellowstone River
1650.27,2220.04,0,0,0.000250677,0.000250677,0,Yellowstone River
4967.66,5971.84,0,0,0.0332018,0.0332018,0,Yellowstone River
4913.35,5924.56,0,0,-0.0634666,0.0634666,0,Yellowstone River
4807.1,5832.06,0,0,0.0552242,0.0552242,0,Yellowstone River
4653.56,5698.39,0,0,-0.0374594,0.0374594,0,Yellowstone River
4459.44,5529.39,0,0,0.0154855,0.0154855,0,Yellowstone River
4233.22,5332.45,0,0,0.00400615,0.00400615,0,Yellowstone River
3984.79,5116.17,0,0,-0.0188459,0.0188459,0,Yellowstone River
3725,4890,0,0,0.0264973,0.0264973,0,Yellowstone River
3465.21,4663.83,0,0,-0.0272429,0.0272429,0,Yellowstone River
3216.78,4447.55,0,0,0.0214246,0.0214246,0,Yellowstone River
2990.56,4250.61,0,0,-0.0114944,0.0114944,0,Yellowstone River
2796.44,4081.61,0,0,-0.000613403,0.000613403,0,Yellowstone River
2642.9,3947.94,0,0,0.0112663,0.0112663,0,Yellowstone River
2536.65,3855.44,0,0,-0.0177628,0.0177628,0,Yellowstone River
2482.34,3808.16,0,0,0.0101368,0.0101368,0,Yellowstone River
4829.76,5258.73,0,0,0.00269177,0.00269177,0,Gravel Pond
4821.69,5258.95,0,0,-0.00516765,0.00516765,0,Gravel Pond
4805.9,5259.37,0,0,0.00389827,0.00389827,0,Gravel Pond
4783.09,5259.98,0,0,-0.00200831,0.00200831,0,Gravel Pond
4754.25,5260.75,0,0,-0.00049437,0.00049437,0,Gravel Pond
4720.64,5261.64,0,0,0.0022442,0.0022442,0,Gravel Pond
4683.73,5262.63,0,0,-0.00354422,0.00354422,0,Gravel Pond
4645.13,5263.66,0,0,0.00335898,0.00335898,0,Gravel Pond
4606.53,5264.69,0,0,-0.00238603,0.00238603,0,Gravel Pond
4569.62,5265.67,0,0,-5.11781e-05,5.11781e-05,0,Gravel Pond
4536.01,5266.57,0,0,0.00273449,0.00273449,0,Gravel Pond
4507.17,5267.33,0,0,-0.00610547,0.00610547,0,Gravel Pond
4484.36,5267.94,0,0,0.00835708,0.00835708,0,Gravel Pond
4468.58,5268.36,0,0,-0.00962334,0.00962334,0,Gravel Pond
4460.51,5268.58,0,0,0.00480172,0.00480172,0,Gravel Pond
4949.27,5527.92,0,0,0.00318658,0.00318658,0,Gravel Pond
4946.8,5522.11,0,0,-0.00643058,0.00643058,0,Gravel Pond
4941.96,5510.75,0,0,0.00545819,0.00545819,0,Gravel Pond
4934.96,5494.32,0,0,-0.00393112,0.00393112,0,Gravel Pond
4926.11,5473.56,0,0,0.00153009,0.00153009,0,Gravel Pond
4915.81,5449.36,0,0,0.000228757,0.000228757,0,Gravel Pond
4904.49,5422.78,0,0,-0.00193368,0.00193368,0,Gravel Pond
4892.65,5394.99,0,0,0.00241958,0.00241958,0,Gravel Pond
4880.82,5367.2,0,0,-0.0025027,0.0025027,0,Gravel Pond
4869.5,5340.63,0,0,0.00134016,0.00134016,0,Gravel Pond
4859.19,5316.43,0,0,-5.6776e-05,5.6776e-05,0,Gravel Pond
4850.35,5295.66,0,0,-0.00194837,0.00194837,0,Gravel Pond
4843.35,5279.24,0,0,0.00326456,0.00326456,0,Gravel Pond
4838.51,5267.87,0,0,-0.00427907,0.00427907,0,Gravel Pond
4836.03,5262.06,0,0,0.00213443,0.00213443,0,Gravel Pond
4752.35,5544.72,0,0,0.00169441,0.00169441,0,Gravel Pond
4756.63,5544.43,0,0,-0.00346115,0.00346115,0,Gravel Pond
4765.01,5543.87,0,0,0.00244836,0.00244836,0,Gravel Pond
4777.1,5543.05,0,0,-0.00130749,0.00130749,0,Gravel Pond
4792.4,5542.03,0,0,-0.00050776,0.00050776,0,Gravel Pond
4810.23,5540.83,0,0,0.00155117,0.00155117,0,Gravel Pond
4829.8,5539.51,0,0,-0.00252306,0.00252306,0,Gravel Pond
4850.27,5538.14,0,0,0.00225685,0.00225685,0,Gravel Pond
4870.75,5536.76,0,0,-0.00166075,0.00166075,0,Gravel Pond
4890.32,5535.44,0,0,-0.000122926,0.000122926,0,Gravel Pond
4908.15,5534.25,0,0,0.00189846,0.00189846,0,Gravel Pond
4923.44,5533.22,0,0,-0.00429124,0.00429124,0,Gravel Pond
4935.54,5532.4,0,0,0.00577963,0.00577963,0,Gravel Pond
4943.92,5531.84,0,0,-0.00669051,0.00669051,0,Gravel Pond
4948.2,5531.55,0,0,0.00331006,0.00331006,0,Gravel Pond
4459.43,5272.21,0,0,0.00449073,0.00449073,0,Gravel Pond
4465.7,5278.09,0,0,-0.00867932,0.00867932,0,Gravel Pond
4477.95,5289.6,0,0,0.00778245,0.00778245,0,Gravel Pond
4495.66,5306.23,0,0,-0.0055867,0.0055867,0,Gravel Pond
4518.05,5327.25,0,0,0.00274814,0.00274814,0,Gravel Pond
4544.14,5351.76,0,0,-0.000153268,0.000153268,0,Gravel Pond
4572.79,5378.66,0,0,-0.00191178,0.00191178,0,Gravel Pond
4602.75,5406.8,0,0,0.00300832,0.00300832,0,Gravel Pond
4632.72,5434.93,0,0,-0.003121,0.003121,0,Gravel Pond
4661.37,5461.84,0,0,0.00221085,0.00221085,0,Gravel Pond
4687.46,5486.34,0,0,-0.000625228,0.000625228,0,Gravel Pond
4709.85,5507.37,0,0,-0.00137136,0.00137136,0,Gravel Pond
4727.56,5524,0,0,0.00311545,0.00311545,0,Gravel Pond
4739.81,5535.5,0,0,-0.00411088,0.00411088,0,Gravel Pond
4746.07,5541.39,0,0,0.00224369,0.00224369,0,Gravel Pond
3700,1508.88,0,0,-2.59297e-07,2.59297e-07,0,Zone D
3700,1523.79,0,0,6.25394e-07,6.25394e-07,0,Zone D
3700,1552.95,0,0,-1.00073e-06,1.00073e-06,0,Zone D
3700,1595.1,0,0,1.10872e-06,1.10872e-06,0,Zone D
3700,1648.39,0,0,-1.14521e-06,1.14521e-06,0,Zone D
3700,1710.49,0,0,9.03736e-07,9.03736e-07,0,Zone D
3700,1778.69,0,0,-6.28413e-07,6.28413e-07,0,Zone D
3700,1850,0,0,1.69518e-07,1.69518e-07,0,Zone D
3700,1921.31,0,0,1.93617e-07,1.93617e-07,0,Zone D
3700,1989.51,0,0,-6.00122e-07,6.00122e-07,0,Zone D
3700,2051.61,0,0,7.80676e-07,7.80676e-07,0,Zone D
3700,2104.9,0,0,-9.03399e-07,9.03399e-07,0,Zone D
3700,2147.05,0,0,7.60861e-07,7.60861e-07,0,Zone D
3700,2176.21,0,0,-5.56622e-07,5.56622e-07,0,Zone D
3700,2191.12,0,0,1.77213e-07,1.77213e-07,0,Zone D
3700,1203.81,0,0,7.16564e-08,7.16564e-08,0,Zone D
3700,1210.19,0,0,2.33573e-07,2.33573e-07,0,Zone D
3700,1222.69,0,0,2.77552e-07,2.77552e-07,0,Zone D
3700,1240.76,0,0,2.72214e-07,2.72214e-07,0,Zone D
3700,1263.6,0,0,2.54748e-07,2.54748e-07,0,Zone D
3700,1290.21,0,0,2.34114e-07,2.34114e-07,0,Zone D
3700,1319.44,0,0,2.12719e-07,2.12719e-07,0,Zone D
3700,1350,0,0,1.91319e-07,1.91319e-07,0,Zone D
3700,1380.56,0,0,1.71405e-07,1.71405e-07,0,Zone D
3700,1409.79,0,0,1.53203e-07,1.53203e-07,0,Zone D
3700,1436.4,0,0,1.37115e-07,1.37115e-07,0,Zone D
3700,1459.24,0,0,1.19848e-07,1.19848e-07,0,Zone D
3700,1477.31,0,0,7.82518e-08,7.82518e-08,0,Zone D
3700,1489.81,0,0,-1.12747e-07,1.12747e-07,0,Zone D
3700,1496.19,0,0,-9.62328e-07,9.62328e-07,0,Zone D
3700,410.147,0,0,2.44675e-07,2.44675e-07,0,Zone D
3700,427.186,0,0,-3.4057e-07,3.4057e-07,0,Zone D
3700,460.518,0,0,7.04914e-07,7.04914e-07,0,Zone D
3700,508.687,0,0,-5.37528e-07,5.37528e-07,0,Zone D
3700,569.588,0,0,6.18017e-07,6.18017e-07,0,Zone D
3700,640.559,0,0,-8.9809e-08,8.9809e-08,0,Zone D
3700,718.499,0,0,-3.99123e-08,3.99123e-08,0,Zone D
3700,800,0,0,8.25207e-07,8.25207e-07,0,Zone D
3700,881.501,0,0,-8.83812e-07,8.83812e-07,0,Zone D
3700,959.441,0,0,1.657e-06,1.657e-06,0,Zone D
3700,1030.41,0,0,-1.35372e-06,1.35372e-06,0,Zone D
3700,1091.31,0,0,1.8057e-06,1.8057e-06,0,Zone D
3700,1139.48,0,0,-1.05043e-06,1.05043e-06,0,Zone D
3700,1172.81,0,0,1.11662e-06,1.11662e-06,0,Zone D
3700,1189.85,0,0,-4.86784e-08,4.86784e-08,0,Zone D
6464.48,400,0,0,0,0,0,Zone D
6404.85,400,0,0,0,0,0,Zone D
6288.19,400,0,0,0,0,0,Zone D
6119.59,400,0,0,0,0,0,Zone D
5906.44,400,0,0,0,0,0,Zone D
5658.04,400,0,0,0,0,0,Zone D
5385.25,400,0,0,0,0,0,Zone D
5100,400,0,0,0,0,0,Zone D
4814.75,400,0,0,0,0,0,Zone D
4541.96,400,0,0,0,0,0,Zone D
4293.56,400,0,0,0,0,0,Zone D
4080.41,400,0,0,0,0,0,Zone D
3911.81,400,0,0,0,0,0,Zone D
3795.15,400,0,0,0,0,0,Zone D
3735.52,400,0,0,0,0,0,Zone D
6500,3164.48,0,0,0,0,0,Zone D
