x,y,extract,cum_extract
8000,5928.97,23.8437,-105005
8000,5809.7,10.5039,-106900
8000,5576.37,5.67212,-108590
8000,5239.19,0.774737,-109772
8000,4812.88,-3.70137,-108915
8000,4316.09,-5.34177,-106757
8000,3770.51,-9.69959,-102622
8000,3200,-10.6689,-96680.3
8000,2629.49,-14.4518,-89802.3
8000,2083.91,-18.6422,-80559.5
8000,1587.12,-23.2568,-70553.4
8000,1160.81,-36.8111,-57897.1
8000,823.626,-45.8109,-44053.5
8000,590.301,-88.8456,-29995.3
8000,471.032,-171.16,-15187.9
1631.88,2177.17,1.11468,2920.16
1618.25,2138.83,1.85241,2851.92
1591.59,2063.83,0.866141,2743.16
1553.05,1955.45,0.910679,2655.78
1504.33,1818.43,0.839601,2510.22
1447.55,1658.74,0.261601,2431.84
1385.2,1483.38,0.566387,2352.09
1320,1300,-0.02538,2289.83
1254.8,1116.62,0.220232,2295.54
1192.45,941.258,0.2495,2223.66
1135.67,781.573,0.0144608,2231.38
1086.95,644.546,1.67127,2107.66
1048.41,536.166,1.05156,1940.28
1021.75,461.168,9.15154,1677.19
1008.12,422.832,29.0242,963.519
2439.73,3759.96,4.54867,6727.03
2422.47,3726.31,3.53602,6576.86
2388.73,3660.48,3.00324,6341.45
2339.95,3565.34,2.8766,6027.18
2278.29,3445.06,2.634,5654.76
2206.43,3304.9,2.46735,5254.69
2127.52,3150.97,2.29378,4841.7
2045,2990,2.09076,4446.07
1962.48,2829.03,1.93469,4081.84
1883.57,2675.1,1.74121,3763.48
1811.71,2534.94,1.60913,3500.82
1750.05,2414.66,1.51711,3288.96
1701.27,2319.52,1.42517,3132.22
1667.53,2253.69,1.51292,3025.14
1650.27,2220.04,1.69463,2964.88
4967.66,5971.84,63.3901,4259.99
4913.35,5924.56,29.7229,1065.88
4807.1,5832.06,6.39593,-1140.61
4653.56,5698.39,-9.05601,-801.034
4459.44,5529.39,-18.4911,3118.6
4233.22,5332.45,-11.0612,7821.34
3984.79,5116.17,-3.2101,9940.26
3725,4890,-0.614875,10570
3465.21,4663.83,1.79184,10328.8
3216.78,4447.55,2.07653,9659.05
2990.56,4250.61,2.98265,8929.34
2796.44,4081.61,2.74196,8136.01
2642.9,3947.94,2.46774,7654.43
2536.65,3855.44,4.20428,7184.72
2482.34,3808.16,2.98836,6901.63
4829.76,5258.73,38.3228,0
4821.69,5258.95,27.8192,0
4805.9,5259.37,19.0196,0
4783.09,5259.98,15.905,0
4754.25,5260.75,12.732,0
4720.64,5261.64,10.262,0
4683.73,5262.63,9.20269,0
4645.13,5263.66,7.38404,0
4606.53,5264.69,7.34431,0
4569.62,5265.67,7.32818,0
4536.01,5266.57,8.17524,0
4507.17,5267.33,12.3278,0
4484.36,5267.94,15.4896,0
4468.58,5268.36,30.6929,0
4460.51,5268.58,58.0323,0
4949.27,5527.92,78.2175,0
4946.8,5522.11,52.0336,0
4941.96,5510.75,35.9151,0
4934.96,5494.32,31.4712,0
4926.11,5473.56,26.6074,0
4915.81,5449.36,24.4728,0
4904.49,5422.78,23.2153,0
4892.65,5394.99,21.804,0
4880.82,5367.2,22.0329,0
4869.5,5340.63,21.6453,0
4859.19,5316.43,22.4798,0
4850.35,5295.66,24.2993,0
4843.35,5279.24,25.8901,0
4838.51,5267.87,33.7451,0
4836.03,5262.06,45.054,0
4752.35,5544.72,49.9068,0
4756.63,5544.43,38.9837,0
4765.01,5543.87,29.78,0
4777.1,5543.05,27.1544,0
4792.4,5542.03,24.4045,0
4810.23,5540.83,22.4306,0
4829.8,5539.51,22.4123,0
4850.27,5538.14,21.4692,0
4870.75,5536.76,22.8688,0
4890.32,5535.44,24.2592,0
4908.15,5534.25,26.5751,0
4923.44,5533.22,33.0226,0
4935.54,5532.4,37.7634,0
4943.92,5531.84,58.8372,0
4948.2,5531.55,96.5641,0
4459.43,5272.21,68.9795,0
4465.7,5278.09,45.4656,0
4477.95,5289.6,32.9214,0
4495.66,5306.23,30.7762,0
4518.05,5327.25,27.4994,0
4544.14,5351.76,26.7441,0
4572.79,5378.66,26.2589,0
4602.75,5406.8,25.496,0
4632.72,5434.93,25.9129,0
4661.37,5461.84,25.4675,0
4687.46,5486.34,26.1573,0
4709.85,5507.37,27.2984,0
4727.56,5524,28.6772,0
4739.81,5535.5,34.5746,0
4746.07,5541.39,41.4851,0
