Run   obj.function   <val1>        <val2>        
1     3.509898E-01  1.388844E+01  1.873203E+01  
2     1.052213E+02  -1.296416E+01  -3.091869E-01  
3     2.434533E+00  1.704593E+01  1.346930E+01  
4     8.600879E+01  8.999242E+00  -1.247273E+01  
5     9.178360E+01  -7.619445E+00  -4.200257E+00  
6     1.972543E+02  -1.729682E+01  -1.424287E+01  
7     -7.447033E-02  1.363797E+01  1.854028E+01  
8     2.792326E+01  -5.837822E-01  9.845407E+00  
9     2.187310E+00  1.190038E+01  1.364516E+01  
10    2.240232E+01  1.300504E+01  1.904777E+00  
11    3.289720E+00  1.428300E+01  1.144779E+01  
12    3.424201E+00  1.118905E+01  1.992772E+01  
13    -5.239433E-01  1.605514E+01  1.817911E+01  
14    2.458374E+00  9.708109E+00  1.394608E+01  
15    3.718879E+00  8.561388E+00  1.793199E+01  
16    2.155211E+00  1.422418E+01  1.095239E+01  
17    1.153584E+00  1.714150E+01  1.479321E+01  
18    3.424137E+00  1.122334E+01  1.996386E+01  
19    9.098112E-01  1.881071E+01  1.776737E+01  
20    2.808496E-01  1.485405E+01  1.617645E+01  
21    6.126652E-01  1.651102E+01  1.693172E+01  
22    -7.616630E-01  1.486648E+01  1.547619E+01  
23    1.502685E+00  1.826054E+01  1.928086E+01  
24    7.157386E-01  1.417454E+01  1.822470E+01  
25    6.590062E-01  1.431515E+01  1.647509E+01  
26    1.650096E+00  1.742703E+01  1.722169E+01  
27    1.295284E+00  1.825551E+01  1.664333E+01  
28    1.170890E+00  1.562104E+01  1.773810E+01  
29    8.328120E-01  1.498540E+01  1.612260E+01  
30    1.832737E+00  1.777182E+01  1.449886E+01  
31    2.503666E+00  9.250974E+00  1.774328E+01  
32    4.718268E-01  1.603125E+01  1.596813E+01  
33    2.970435E+00  9.590873E+00  1.657837E+01  
34    -9.009450E-01  1.478027E+01  1.643109E+01  
35    4.592450E+00  9.756034E+00  1.293730E+01  
36    2.464160E+00  1.640329E+01  1.300139E+01  
37    7.523888E-01  1.462549E+01  1.792189E+01  
38    1.660612E+00  1.213281E+01  1.575843E+01  
39    9.646641E+00  5.410890E+00  1.702813E+01  
40    8.471022E-01  1.397313E+01  1.517636E+01  
41    9.633163E-01  1.646874E+01  1.677593E+01  
42    3.890433E-01  1.546750E+01  1.650070E+01  
43    1.730217E+00  1.731274E+01  1.742726E+01  
44    1.972174E+00  9.318642E+00  1.641761E+01  
45    -3.405429E-01  1.270545E+01  1.694167E+01  
46    1.044939E+00  1.387703E+01  1.774352E+01  
47    2.310922E+00  1.823437E+01  1.772118E+01  
48    9.404382E-02  1.414016E+01  1.962153E+01  
49    6.146205E-01  1.530915E+01  1.684912E+01  
50    -8.386231E-01  1.465932E+01  1.654843E+01  
51    1.218623E+00  1.635272E+01  1.690398E+01  
52    2.271218E-01  1.565443E+01  1.866044E+01  
53    1.068535E-01  1.673915E+01  1.523490E+01  
54    1.673821E+00  1.358981E+01  1.904150E+01  
55    8.237871E-01  1.406995E+01  1.628601E+01  
56    8.936795E-01  1.903736E+01  1.645783E+01  
57    4.274633E-01  1.529683E+01  1.599275E+01  
58    -4.620789E-01  1.528928E+01  1.535720E+01  
59    -4.945105E-01  1.346211E+01  1.463412E+01  
60    1.262286E+00  1.427093E+01  1.485366E+01  
61    3.693804E-01  1.782014E+01  1.648033E+01  
62    3.510884E+00  8.949178E+00  1.637361E+01  
63    7.592402E-01  1.142564E+01  1.757145E+01  
64    3.015216E-01  1.430828E+01  1.409000E+01  
