Run   obj.function   <kb>          <kn>          <mlt>         <sn0>         <gw0>         <st0>         <CN1>         <CN2>         <ss1>         <ss2>         <kh>          
1     2.357321E+06  5.899776E-02  5.226196E-01  2.422437E+00  5.967124E+01  6.283220E+02  2.014374E+02  7.078804E+01  5.984820E+01  5.075553E+00  1.915305E+01  1.510481E+00  
2     8.660644E+05  8.916437E-01  1.846142E-01  6.345441E-02  5.366753E+01  2.112095E+01  3.645260E+02  7.605094E+01  6.868269E+01  1.657304E+01  1.565251E+01  9.909547E-01  
3     4.290818E+05  6.448653E-01  9.308909E-02  1.123602E+00  8.187319E+01  6.923626E+01  2.576815E+02  7.591010E+01  8.919475E+01  1.146990E+01  2.522344E+01  9.476182E-01  
4     1.353656E+06  6.651488E-01  3.904598E-01  7.741769E-01  5.182463E+00  3.262518E+02  2.030659E+01  8.756337E+01  9.631906E+01  1.532550E+01  1.444373E+01  9.348642E-01  
5     2.172522E+05  3.205356E-01  1.536208E-01  7.741769E-01  2.253211E+01  2.079006E+02  2.030659E+01  7.893176E+01  8.531280E+01  1.532550E+01  1.444373E+01  9.176821E-01  
6     3.982215E+05  4.895715E-01  3.214629E-01  7.741769E-01  1.417717E+01  1.996326E+02  2.030659E+01  7.893176E+01  8.531280E+01  8.182112E+00  1.444373E+01  9.572533E-01  
7     4.436306E+05  7.078830E-01  1.741883E-01  7.741769E-01  2.129591E+01  2.641941E+02  2.030659E+01  7.893176E+01  7.015904E+01  1.532550E+01  1.444373E+01  9.176821E-01  
8     8.242093E+04  3.818793E-01  1.219840E-01  6.314305E-02  2.253211E+01  1.450499E+02  4.080431E+00  8.473943E+01  8.531280E+01  1.782797E+01  1.444373E+01  9.176821E-01  
9     4.634650E+04  5.315648E-01  1.685491E-01  2.328027E+00  1.224197E+01  7.594779E+01  2.044918E+01  7.295222E+01  7.834256E+01  1.002095E+01  9.992245E+00  9.707332E-01  
10    1.513854E+05  5.315648E-01  1.685491E-01  7.741769E-01  3.740962E+00  1.670864E+02  2.030659E+01  6.075849E+01  7.834256E+01  1.732097E+01  1.295186E+01  9.707332E-01  
11    1.425482E+05  5.315648E-01  2.230716E-01  1.175820E+00  1.278636E+01  1.170646E+02  2.871326E+01  7.424161E+01  8.887512E+01  1.467127E+01  1.491750E+01  1.317301E+00  
12    1.476286E+04  5.315648E-01  2.667009E-01  6.564107E-01  3.479652E+00  5.461231E+00  2.871326E+01  7.504525E+01  8.887512E+01  2.132173E+01  1.494892E+01  1.266898E+00  
13    2.980741E+04  5.502515E-01  3.267362E-01  7.737506E-01  2.364732E+01  5.461231E+00  2.871326E+01  7.424161E+01  7.112005E+01  2.132173E+01  1.445406E+01  1.154065E+00  
14    2.916313E+05  8.040115E-01  2.060152E-01  2.426495E+00  3.479652E+00  1.925834E+02  2.871326E+01  6.407015E+01  6.369834E+01  2.443096E+01  8.501640E+00  1.154065E+00  
15    1.014439E+05  5.502515E-01  8.902842E-02  1.884764E+00  3.479652E+00  1.582222E+02  4.663039E+01  6.407015E+01  8.347200E+01  1.613257E+01  1.143246E+01  9.509051E-01  
16    5.416340E+03  5.502515E-01  5.094003E-03  2.426495E+00  3.479652E+00  5.461231E+00  2.871326E+01  6.407015E+01  7.218794E+01  1.845561E+01  8.501640E+00  1.154065E+00  
17    5.151542E+03  5.502515E-01  1.988036E-01  2.426495E+00  3.479652E+00  5.461231E+00  1.581298E+01  6.407015E+01  7.218794E+01  1.845561E+01  8.501640E+00  1.154065E+00  
