STEP	OBJ._FUNCTION	<kb>        	<kn>        	<mlt>       	<sn0>       	<gw0>       	<st0>       	<CN1>       	<CN2>       	<ss1>       	<ss2>       	<kh>        
   1	1.233618E+07	3.382962E-01	3.580189E-01	2.583157E+00	1.536529E+00	9.915650E+02	3.298751E+02	9.057675E+01	6.529843E+01	1.781463E+01	1.769379E+01	1.194302E+00
   2	9.412988E+04	6.448653E-01	9.308909E-02	9.095028E-01	4.345313E+01	7.141942E+01	7.262734E+01	7.591010E+01	8.848742E+01	1.837389E+01	1.794532E+01	1.018439E+00
   9	3.051495E+04	5.906381E-01	1.219840E-01	7.741769E-01	2.253211E+01	4.861816E+01	2.030659E+01	7.893176E+01	8.531280E+01	1.532550E+01	1.444373E+01	9.176821E-01
  27	2.087312E+04	5.315648E-01	1.685491E-01	7.741769E-01	2.253211E+01	2.761455E+01	2.030659E+01	7.126317E+01	7.834256E+01	1.532550E+01	1.444373E+01	9.707332E-01
  33	6.889047E+03	5.315648E-01	8.902842E-02	7.741769E-01	3.479652E+00	5.461231E+00	2.871326E+01	7.424161E+01	8.887512E+01	2.132173E+01	1.444373E+01	1.266898E+00
  40	6.704926E+03	5.502515E-01	8.902842E-02	7.741769E-01	3.479652E+00	5.461231E+00	2.871326E+01	7.424161E+01	8.339822E+01	2.132173E+01	1.445406E+01	1.154065E+00
  44	5.789909E+03	5.502515E-01	8.902842E-02	2.426495E+00	3.479652E+00	5.461231E+00	2.871326E+01	6.407015E+01	7.218794E+01	2.132173E+01	8.501640E+00	1.154065E+00
  56	5.416340E+03	5.502515E-01	5.094003E-03	2.426495E+00	3.479652E+00	5.461231E+00	2.871326E+01	6.407015E+01	7.218794E+01	1.845561E+01	8.501640E+00	1.154065E+00
  60	5.151542E+03	5.502515E-01	1.988036E-01	2.426495E+00	3.479652E+00	5.461231E+00	1.581298E+01	6.407015E+01	7.218794E+01	1.845561E+01	8.501640E+00	1.154065E+00
  78	5.151540E+03	5.502515E-01	1.988036E-01	2.500213E+00	3.479652E+00	5.461231E+00	1.581298E+01	6.407015E+01	7.218794E+01	1.845561E+01	8.501640E+00	1.154065E+00
