True Cost 	Penalty 	Adjusted Cost
1.166178E+07	0.000000E+00	1.166178E+07
1.044657E+08	0.000000E+00	1.044657E+08
8.766848E+06	0.000000E+00	8.766848E+06
2.645880E+07	0.000000E+00	2.645880E+07
4.597255E+06	0.000000E+00	4.597255E+06
4.624177E+06	0.000000E+00	4.624177E+06
1.762880E+06	0.000000E+00	1.762880E+06
5.833820E+06	0.000000E+00	5.833820E+06
1.130514E+06	0.000000E+00	1.130514E+06
1.146919E+06	0.000000E+00	1.146919E+06
1.133828E+07	0.000000E+00	1.133828E+07
8.373193E+06	0.000000E+00	8.373193E+06
8.974947E+05	0.000000E+00	8.974947E+05
8.889473E+05	0.000000E+00	8.889473E+05
1.076050E+06	0.000000E+00	1.076050E+06
9.776380E+06	0.000000E+00	9.776380E+06
3.833458E+06	0.000000E+00	3.833458E+06
4.572552E+05	0.000000E+00	4.572552E+05
8.539996E+05	0.000000E+00	8.539996E+05
8.451097E+05	0.000000E+00	8.451097E+05
6.928165E+06	0.000000E+00	6.928165E+06
9.137761E+05	0.000000E+00	9.137761E+05
4.347376E+06	0.000000E+00	4.347376E+06
4.577901E+05	0.000000E+00	4.577901E+05
5.343773E+06	0.000000E+00	5.343773E+06
2.007965E+06	0.000000E+00	2.007965E+06
4.338311E+05	0.000000E+00	4.338311E+05
2.368166E+05	0.000000E+00	2.368166E+05
5.474219E+05	0.000000E+00	5.474219E+05
2.750536E+05	0.000000E+00	2.750536E+05
2.368158E+05	0.000000E+00	2.368158E+05
2.825864E+05	0.000000E+00	2.825864E+05
3.015806E+06	0.000000E+00	3.015806E+06
6.049564E+05	0.000000E+00	6.049564E+05
6.583509E+05	0.000000E+00	6.583509E+05
2.038406E+05	0.000000E+00	2.038406E+05
2.043762E+05	0.000000E+00	2.043762E+05
8.976496E+05	0.000000E+00	8.976496E+05
1.593050E+05	0.000000E+00	1.593050E+05
3.884095E+05	0.000000E+00	3.884095E+05
4.566693E+05	0.000000E+00	4.566693E+05
4.579774E+05	0.000000E+00	4.579774E+05
1.730677E+05	0.000000E+00	1.730677E+05
1.416564E+05	0.000000E+00	1.416564E+05
1.610802E+05	0.000000E+00	1.610802E+05
2.798013E+05	0.000000E+00	2.798013E+05
7.229252E+04	0.000000E+00	7.229252E+04
1.980108E+05	0.000000E+00	1.980108E+05
2.626229E+04	0.000000E+00	2.626229E+04
3.544511E+04	0.000000E+00	3.544511E+04
1.290347E+05	0.000000E+00	1.290347E+05
2.643747E+04	0.000000E+00	2.643747E+04
1.731509E+04	0.000000E+00	1.731509E+04
6.566910E+04	0.000000E+00	6.566910E+04
1.720154E+04	0.000000E+00	1.720154E+04
1.201020E+05	0.000000E+00	1.201020E+05
8.626741E+03	0.000000E+00	8.626741E+03
9.447149E+03	0.000000E+00	9.447149E+03
1.835286E+06	0.000000E+00	1.835286E+06
3.587438E+03	0.000000E+00	3.587438E+03
3.850350E+05	0.000000E+00	3.850350E+05
2.497463E+03	0.000000E+00	2.497463E+03
1.247309E+06	0.000000E+00	1.247309E+06
2.502868E+03	0.000000E+00	2.502868E+03
1.195014E+06	0.000000E+00	1.195014E+06
3.072123E+03	0.000000E+00	3.072123E+03
2.635018E+03	0.000000E+00	2.635018E+03
2.379271E+03	0.000000E+00	2.379271E+03
2.529565E+03	0.000000E+00	2.529565E+03
6.808853E+04	0.000000E+00	6.808853E+04
3.555281E+03	0.000000E+00	3.555281E+03
5.507901E+05	0.000000E+00	5.507901E+05
3.224270E+05	0.000000E+00	3.224270E+05
9.039624E+03	0.000000E+00	9.039624E+03
2.738066E+03	0.000000E+00	2.738066E+03
2.370316E+03	0.000000E+00	2.370316E+03
1.707291E+05	0.000000E+00	1.707291E+05
7.045077E+04	0.000000E+00	7.045077E+04
2.308464E+03	0.000000E+00	2.308464E+03
