Daily output for entire watershed
Day 	 Precipitation (cm) 	 Temperature (deg. C) 	 Snowmelt (cm) 	 Precip.+Snowmelt 	 Hamon's PET (cm) 	 Snowpack (cm) 	 GW storage (cm) 	 Stream storage (cm) 	 Stream Flow (m^3/s) 
1    	  1.77800000000E-01 	  +1.544444400000E+01 	 3.783626E+00 	  3.961426224E+00 	  3.653134388E-01 	 3.737838E+01 	  4.89631817E+00 	  +5.39378200000E+01 	  +2.80667119239E+00 
2    	  1.57480000000E+00 	  +1.600000000000E+01 	 3.919728E+00 	  5.494528000E+00 	  3.775135968E-01 	 3.345866E+01 	  3.59420727E+00 	  +5.65686721608E+01 	  +2.93048753773E+00 
3    	  2.13360000000E+00 	  +1.794444400000E+01 	 4.396084E+00 	  6.529683724E+00 	  4.238148860E-01 	 2.906257E+01 	  2.67746430E+00 	  +5.90642000540E+01 	  +3.05035563595E+00 
4    	  0.00000000000E+00 	  +2.222222200000E+01 	 5.444067E+00 	  5.444066612E+00 	  5.437184573E-01 	 2.361851E+01 	  2.02206691E+00 	  +6.14801507249E+01 	  +3.13944105424E+00 
5    	  0.00000000000E+00 	  +2.144444400000E+01 	 5.253524E+00 	  5.253524224E+00 	  5.193633162E-01 	 1.836498E+01 	  1.55005368E+00 	  +6.32756741320E+01 	  +3.21449371923E+00 
6    	  0.00000000000E+00 	  +2.122222200000E+01 	 5.199084E+00 	  5.199083612E+00 	  5.121811322E-01 	 1.316590E+01 	  1.21858423E+00 	  +6.47883663247E+01 	  +3.28284754085E+00 
7    	  1.70180000000E+00 	  +1.800000000000E+01 	 4.409694E+00 	  6.111494000E+00 	  4.234672772E-01 	 8.756204E+00 	  9.88627986E-01 	  +6.61660428181E+01 	  +3.36764342527E+00 
8    	  1.01600000000E-01 	  +1.694444400000E+01 	 4.151101E+00 	  4.252700724E+00 	  3.971298436E-01 	 4.605103E+00 	  8.21554314E-01 	  +6.78751103423E+01 	  +3.41533211175E+00 
9    	  0.00000000000E+00 	  +1.611111100000E+01 	 3.946948E+00 	  3.946948306E+00 	  3.772344369E-01 	 6.581546E-01 	  7.02291097E-01 	  +6.88362794592E+01 	  +3.45668778155E+00 
10   	  0.00000000000E+00 	  +1.861111100000E+01 	 6.581546E-01 	  6.581545716E-01 	  4.374280555E-01 	 0.000000E+00 	  5.27881787E-01 	  +6.96698061414E+01 	  +3.44748165901E+00 
11   	  0.00000000000E+00 	  +2.044444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.864612345E-01 	 0.000000E+00 	  3.73438832E-01 	  +6.94842560389E+01 	  +3.43250694868E+00 
12   	  1.62560000000E+00 	  +2.150000000000E+01 	 0.000000E+00 	  1.625600000E+00 	  5.164387610E-01 	 0.000000E+00 	  2.67724617E-01 	  +6.91824396088E+01 	  +3.42735527750E+00 
13   	  0.00000000000E+00 	  +2.138888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.123491342E-01 	 0.000000E+00 	  1.89396131E-01 	  +6.90786072828E+01 	  +3.40876073224E+00 
14   	  0.00000000000E+00 	  +2.077777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.937263300E-01 	 0.000000E+00 	  1.33984297E-01 	  +6.87038328035E+01 	  +3.38915844804E+00 
15   	  0.00000000000E+00 	  +2.177777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.222915175E-01 	 0.000000E+00 	  9.47843637E-02 	  +6.83087472688E+01 	  +3.36888550602E+00 
16   	  0.00000000000E+00 	  +2.283333300000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.539788948E-01 	 0.000000E+00 	  6.70531981E-02 	  +6.79001445747E+01 	  +3.34818009032E+00 
17   	  0.00000000000E+00 	  +2.405555600000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.928286599E-01 	 0.000000E+00 	  4.74353702E-02 	  +6.74828253405E+01 	  +3.32721042432E+00 
18   	  6.09600000000E-01 	  +2.294444400000E+01 	 0.000000E+00 	  6.096000000E-01 	  5.555010368E-01 	 0.000000E+00 	  3.35571518E-02 	  +6.70601801213E+01 	  +3.30626588652E+00 
19   	  0.00000000000E+00 	  +2.427777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.980972159E-01 	 0.000000E+00 	  2.37392990E-02 	  +6.66380413630E+01 	  +3.28508779138E+00 
20   	  0.00000000000E+00 	  +2.250000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.394717651E-01 	 0.000000E+00 	  1.67938661E-02 	  +6.62111952386E+01 	  +3.26390686884E+00 
21   	  1.01600000000E-01 	  +1.883333300000E+01 	 0.000000E+00 	  1.016000000E-01 	  4.349568622E-01 	 0.000000E+00 	  1.18804663E-02 	  +6.57842921276E+01 	  +3.24276456027E+00 
22   	  1.21920000000E+00 	  +1.916666700000E+01 	 0.000000E+00 	  1.219200000E+00 	  4.426754720E-01 	 0.000000E+00 	  8.40458518E-03 	  +6.53581672844E+01 	  +3.22434918927E+00 
23   	  0.00000000000E+00 	  +1.916666700000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.417379506E-01 	 0.000000E+00 	  5.94564645E-03 	  +6.49870040759E+01 	  +3.20334507409E+00 
24   	  5.56260000000E+00 	  +1.822222200000E+01 	 0.000000E+00 	  5.562600000E+00 	  4.168459199E-01 	 0.000000E+00 	  1.40478682E-02 	  +6.45636645309E+01 	  +3.26007045096E+00 
25   	  4.31800000000E-01 	  +2.261111100000E+01 	 0.000000E+00 	  4.318000000E-01 	  5.371954277E-01 	 0.000000E+00 	  4.44456056E-02 	  +6.57069688325E+01 	  +3.24050476159E+00 
26   	  5.08000000000E-02 	  +2.438888900000E+01 	 0.000000E+00 	  5.080000000E-02 	  5.930052893E-01 	 0.000000E+00 	  3.14421059E-02 	  +6.53126208693E+01 	  +3.21991454196E+00 
27   	  0.00000000000E+00 	  +2.533333300000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.239159992E-01 	 0.000000E+00 	  2.22430544E-02 	  +6.48976234207E+01 	  +3.19927170339E+00 
28   	  0.00000000000E+00 	  +2.511111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.147164302E-01 	 0.000000E+00 	  1.57353795E-02 	  +6.44815654335E+01 	  +3.17863145420E+00 
29   	  0.00000000000E+00 	  +2.500000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.094046726E-01 	 0.000000E+00 	  1.11316622E-02 	  +6.40655596351E+01 	  +3.15803258945E+00 
30   	  1.29540000000E+00 	  +2.494444400000E+01 	 0.000000E+00 	  1.295400000E+00 	  6.059962741E-01 	 0.000000E+00 	  7.87485956E-03 	  +6.36503879436E+01 	  +3.14121612426E+00 
31   	  1.11760000000E+00 	  +2.416666700000E+01 	 0.000000E+00 	  1.117600000E+00 	  5.785163824E-01 	 0.000000E+00 	  5.57090323E-03 	  +6.33114508038E+01 	  +3.12523462132E+00 
32   	  0.00000000000E+00 	  +2.288888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.365819895E-01 	 0.000000E+00 	  3.94101795E-03 	  +6.29893423919E+01 	  +3.10483902154E+00 
33   	  0.00000000000E+00 	  +2.200000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.085706673E-01 	 0.000000E+00 	  2.78798999E-03 	  +6.25782675211E+01 	  +3.08455354540E+00 
34   	  0.00000000000E+00 	  +2.427777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.775910063E-01 	 0.000000E+00 	  1.97230469E-03 	  +6.21694122009E+01 	  +3.06438434812E+00 
35   	  0.00000000000E+00 	  +2.366666700000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.564153518E-01 	 0.000000E+00 	  1.39526534E-03 	  +6.17629004898E+01 	  +3.04433553263E+00 
36   	  0.00000000000E+00 	  +2.600000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.327557592E-01 	 0.000000E+00 	  9.87051024E-04 	  +6.13588150829E+01 	  +3.02440975170E+00 
37   	  0.00000000000E+00 	  +2.277777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.259836167E-01 	 0.000000E+00 	  6.98268420E-04 	  +6.09572094472E+01 	  +3.00460863386E+00 
38   	  0.00000000000E+00 	  +2.288888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.278292783E-01 	 0.000000E+00 	  4.93975260E-04 	  +6.05581164052E+01 	  +2.98493308463E+00 
39   	  0.00000000000E+00 	  +2.044444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.570499492E-01 	 0.000000E+00 	  3.49452375E-04 	  +6.01615542084E+01 	  +2.96538349973E+00 
40   	  0.00000000000E+00 	  +1.972222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.368733163E-01 	 0.000000E+00 	  2.47212709E-04 	  +5.97675308322E+01 	  +2.94595991581E+00 
