True Cost 	Penalty 	Adjusted Cost
1.233618E+07	0.000000E+00	1.233618E+07
6.713687E+07	0.000000E+00	6.713687E+07
1.937478E+06	0.000000E+00	1.937478E+06
3.389295E+05	0.000000E+00	3.389295E+05
4.433492E+05	0.000000E+00	4.433492E+05
1.133882E+05	0.000000E+00	1.133882E+05
3.232239E+04	0.000000E+00	3.232239E+04
2.087312E+04	0.000000E+00	2.087312E+04
6.889047E+03	0.000000E+00	6.889047E+03
6.704926E+03	0.000000E+00	6.704926E+03
5.789909E+03	0.000000E+00	5.789909E+03
1.049757E+05	0.000000E+00	1.049757E+05
7.318319E+03	0.000000E+00	7.318319E+03
5.490895E+03	0.000000E+00	5.490895E+03
1.802528E+05	0.000000E+00	1.802528E+05
1.521455E+04	0.000000E+00	1.521455E+04
2.404831E+06	0.000000E+00	2.404831E+06
4.730791E+04	0.000000E+00	4.730791E+04
2.483789E+04	0.000000E+00	2.483789E+04
9.244844E+04	0.000000E+00	9.244844E+04
4.916883E+03	0.000000E+00	4.916883E+03
5.228238E+03	0.000000E+00	5.228238E+03
5.946711E+03	0.000000E+00	5.946711E+03
5.872104E+03	0.000000E+00	5.872104E+03
2.067411E+04	0.000000E+00	2.067411E+04
4.900640E+03	0.000000E+00	4.900640E+03
5.035038E+03	0.000000E+00	5.035038E+03
4.925850E+04	0.000000E+00	4.925850E+04
3.507104E+03	0.000000E+00	3.507104E+03
4.985040E+03	0.000000E+00	4.985040E+03
5.331227E+04	0.000000E+00	5.331227E+04
3.888413E+03	0.000000E+00	3.888413E+03
2.028647E+05	0.000000E+00	2.028647E+05
3.186675E+03	0.000000E+00	3.186675E+03
3.146249E+03	0.000000E+00	3.146249E+03
4.615718E+04	0.000000E+00	4.615718E+04
1.028669E+05	0.000000E+00	1.028669E+05
1.231739E+05	0.000000E+00	1.231739E+05
3.482250E+03	0.000000E+00	3.482250E+03
6.858380E+05	0.000000E+00	6.858380E+05
6.224250E+03	0.000000E+00	6.224250E+03
5.261092E+04	0.000000E+00	5.261092E+04
2.885662E+05	0.000000E+00	2.885662E+05
2.438954E+05	0.000000E+00	2.438954E+05
2.967963E+03	0.000000E+00	2.967963E+03
3.148596E+03	0.000000E+00	3.148596E+03
3.258682E+03	0.000000E+00	3.258682E+03
4.739750E+03	0.000000E+00	4.739750E+03
1.938288E+04	0.000000E+00	1.938288E+04
2.057592E+03	0.000000E+00	2.057592E+03
4.601559E+03	0.000000E+00	4.601559E+03
1.950908E+03	0.000000E+00	1.950908E+03
1.907895E+03	0.000000E+00	1.907895E+03
2.102015E+03	0.000000E+00	2.102015E+03
2.679049E+03	0.000000E+00	2.679049E+03
5.481406E+03	0.000000E+00	5.481406E+03
1.847043E+03	0.000000E+00	1.847043E+03
2.207130E+05	0.000000E+00	2.207130E+05
3.988577E+03	0.000000E+00	3.988577E+03
1.913951E+03	0.000000E+00	1.913951E+03
1.848679E+03	0.000000E+00	1.848679E+03
6.503844E+04	0.000000E+00	6.503844E+04
1.554206E+03	0.000000E+00	1.554206E+03
1.486728E+03	0.000000E+00	1.486728E+03
2.356120E+03	0.000000E+00	2.356120E+03
1.517092E+03	0.000000E+00	1.517092E+03
1.486924E+03	0.000000E+00	1.486924E+03
1.487881E+03	0.000000E+00	1.487881E+03
1.544735E+04	0.000000E+00	1.544735E+04
2.965824E+03	0.000000E+00	2.965824E+03
1.466046E+03	0.000000E+00	1.466046E+03
1.473687E+03	0.000000E+00	1.473687E+03
1.404386E+06	0.000000E+00	1.404386E+06
1.508828E+03	0.000000E+00	1.508828E+03
1.220898E+06	0.000000E+00	1.220898E+06
1.462791E+03	0.000000E+00	1.462791E+03
1.856910E+03	0.000000E+00	1.856910E+03
1.275296E+05	0.000000E+00	1.275296E+05
1.442973E+03	0.000000E+00	1.442973E+03
5.590159E+04	0.000000E+00	5.590159E+04
1.362975E+03	0.000000E+00	1.362975E+03
1.616534E+03	0.000000E+00	1.616534E+03
1.007756E+06	0.000000E+00	1.007756E+06
