Daily output for entire watershed
Day 	 Precipitation (cm) 	 Temperature (deg. C) 	 Snowmelt (cm) 	 Precip.+Snowmelt 	 Hamon's PET (cm) 	 Snowpack (cm) 	 GW storage (cm) 	 Stream storage (cm) 	 Stream Flow (m^3/s) 
1    	  1.77800000000E-01 	  +1.544444400000E+01 	 1.336514E+00 	  1.514314000E+00 	  3.112623689E-01 	 0.000000E+00 	  1.64778192E+00 	  +5.65766200000E+00 	  +1.80250187337E+01 
2    	  1.57480000000E+00 	  +1.600000000000E+01 	 0.000000E+00 	  1.574800000E+00 	  3.216574152E-01 	 0.000000E+00 	  1.58251373E+00 	  +3.32968112568E+00 	  +1.06877513597E+01 
3    	  2.13360000000E+00 	  +1.794444400000E+01 	 0.000000E+00 	  2.133600000E+00 	  3.611080551E-01 	 0.000000E+00 	  1.51983078E+00 	  +1.97430052662E+00 	  +6.68666982837E+00 
4    	  0.00000000000E+00 	  +2.222222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.632709259E-01 	 0.000000E+00 	  1.45963070E+00 	  +1.23519862310E+00 	  +4.07808718455E+00 
5    	  0.00000000000E+00 	  +2.144444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.425193244E-01 	 0.000000E+00 	  1.40181512E+00 	  +7.53326813573E-01 	  +2.55358397794E+00 
6    	  0.00000000000E+00 	  +2.122222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.363998024E-01 	 0.000000E+00 	  1.34628960E+00 	  +4.71712151859E-01 	  +1.65981420969E+00 
7    	  1.70180000000E+00 	  +1.800000000000E+01 	 0.000000E+00 	  1.701800000E+00 	  3.608118779E-01 	 0.000000E+00 	  1.29296343E+00 	  +3.06610058374E-01 	  +1.29802729425E+00 
8    	  1.01600000000E-01 	  +1.694444400000E+01 	 0.000000E+00 	  1.016000000E-01 	  3.383712800E-01 	 0.000000E+00 	  1.24174950E+00 	  +2.39778778937E-01 	  +9.16083703061E-01 
9    	  0.00000000000E+00 	  +1.611111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.214195592E-01 	 0.000000E+00 	  1.19256414E+00 	  +1.69224046903E-01 	  +6.87581828167E-01 
10   	  0.00000000000E+00 	  +1.861111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.727070464E-01 	 0.000000E+00 	  1.14532699E+00 	  +1.27013917124E-01 	  +5.48565481661E-01 
11   	  0.00000000000E+00 	  +2.044444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.144853711E-01 	 0.000000E+00 	  1.09996090E+00 	  +1.01334048939E-01 	  +4.61831530529E-01 
12   	  1.62560000000E+00 	  +2.150000000000E+01 	 0.000000E+00 	  1.625600000E+00 	  4.400274808E-01 	 0.000000E+00 	  1.05639175E+00 	  +8.53120739103E-02 	  +6.07152098354E-01 
13   	  0.00000000000E+00 	  +2.138888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.365429472E-01 	 0.000000E+00 	  1.01454836E+00 	  +1.12156492716E-01 	  +4.84812089860E-01 
14   	  0.00000000000E+00 	  +2.077777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.206755370E-01 	 0.000000E+00 	  9.74362369E-01 	  +8.95571698958E-02 	  +4.08448687654E-01 
15   	  0.00000000000E+00 	  +2.177777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.450142747E-01 	 0.000000E+00 	  9.35768139E-01 	  +7.54509000063E-02 	  +3.59029217031E-01 
16   	  0.00000000000E+00 	  +2.283333300000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.720132489E-01 	 0.000000E+00 	  8.98702616E-01 	  +6.63218621394E-02 	  +3.25477220569E-01 
