Run   obj.function   <x>           <y>           
1     3.807710E-01  1.988317E+01  -4.619925E+00  
2     7.492360E-01  1.963032E+01  -4.671695E+00  
3     4.751500E+02  2.018583E+00  -1.359308E+01  
4     7.608370E-01  1.981516E+01  -4.685807E+00  
5     2.949689E+02  1.100929E+01  -8.089043E+00  
6     3.823240E-01  1.990758E+01  -4.652589E+00  
7     2.911673E+02  1.550465E+01  -5.446918E+00  
8     3.828770E-01  1.999540E+01  -4.570412E+00  
9     2.912632E+02  1.775232E+01  -4.079728E+00  
10    3.829620E-01  1.999770E+01  -4.571027E+00  
